timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743258035.669370|3461344040|573735|b'2\x92l\x00>\xc8h\x7f\xf6/(\xa8\xe2\xab\xf3\x99'|b'\xa9>7\xcf\xc85\xe74\x88e^\x8f'|1510|42|1468|52|1386|1438|0|75|1438
1743258035.669385|3461344040|573736|b'6\xd4\xbc\xf7\xa0S\x90M\xa4\x16\xb59\\g\xd1\xdc'|b'Yj\x86\xcd\\\xe1p\xc3\xb2\x1a\xe7\x8c'|1510|42|1468|52|1386|1438|0|76|1438
1743258035.669401|3461344040|573737|b'\xbf\x16[o\x81\x8dK\xba\xaeE\xd4\xe1\x9c\x93N\x19'|"b'B\xf8\x95\x97j\xea\xe3n""_)\xb7'"|1510|42|1468|52|1386|1438|0|77|1438
1743258035.669419|3461344040|573738|"b""S\x9ej\x0b'\xd9r@\xb7\x8e\xa9\x01\xbe\xca\x9f\x8f"""|b'\xc2R%cH\xbc~\xb7[\x82\xef}'|1510|42|1468|52|1386|1438|0|78|1438
1743258035.669433|3461344040|573739|b'RBs\x19\xdd/\x0e^;\xcb\xb8\xa0s\x9dq1'|"b""fC\x8d4\x9e\xf2'\xef,\xef\xf0\xc3"""|1510|42|1468|52|1386|1438|0|79|1438
1743258035.669449|3461344040|573740|"b'\xf0\xea\xaa""(\'\xd1\xdc\x85\xb9\xe7\xda\xc0N\xc1>'"|b'H2\xd0qp1\x01\x84\x18a\x0e\x00'|1510|42|1468|52|1386|1438|0|80|1438
1743258035.669467|3461344040|573741|b'\xb1\x7f;cw;\xd3\rV\x91\x967\xb5\x02im'|b' K\xc4d\xd3Rkn$Ag\x12'|1510|42|1468|52|1386|1438|0|81|1438
1743258035.669482|3461344040|573742|b'a\x97\xb9%\xd7\xf8Mr\n\xd5\x1fD\xbe\r\x08\xf4'|b'\x84W\xe6\xbe\x1b\xb9\x97\x8e\x9b\x9b\xbfd'|1510|42|1468|52|1386|1438|0|82|1438
1743258035.669498|3461344040|573743|"b'\x0fl\xf8\xbd\xd8\xa1\xf9Z\x9a0\xb2\xc9|\x0fbt'"|b'\xf1b\xefS\xe4=\xbf\xad\x1ei_T'|1510|42|1468|52|1386|1438|0|83|1438
1743258035.669512|3461344040|573744|b'}9\xac\xb0\r\xb6\x1b\xd8\xa9/\xcdl\xca\xf9\x87\xf9'|b'\xfc\x7fX\x98\xca/\x01\xe3\xae\xe84\x1e'|1510|42|1468|52|1386|1438|0|84|1438
1743258035.669527|3461344040|573745|b'g\xfa\\\xd82U\xb9\xee]\xb1\xc9q\xc5L\xf2i'|b'\x99T\xa7\xd14\x97 \x0c\xdf-_W'|1510|42|1468|52|1386|1438|0|85|1438
1743258035.669635|3461344040|573746|"b'MQ\xa5\xd5\xcf&|\xf8\x8f\xb6\x92\xaa\xb4\xacO['"|b'\x83x\xf25\xbf$\x13\x12\xbeS\xedo'|1510|42|1468|52|1386|1438|0|86|1438
1743258035.669640|3224334942|837790|b'\xd3..\n\x1fwG\xbd\xe0\x05\xb9Mo\x10h\xcb'|b'\xee\xac\x08SO\xda\x10\xc5\xb8\x80\xc7~'|134|42|92|52|0|52|10|87|52
1743258035.669686|3461344040|573747|b'\xc46\xbem\xd61\xea$\xdf\xe4R\x0b\x03\x82\xebz'|b'\xe6Z\xd5a\x85\x87\x00\x05\x16;1?'|1510|42|1468|52|1386|1438|0|88|1438
1743258035.669730|3461344040|573748|b'\xd8\xb1N%v\xe4\xd2\xddL>\xd7\x85\xbdBT\x1f'|b'\xe5ak\xb99N\xdexI\xd0Z\x8e'|1510|42|1468|52|1386|1438|0|89|1438
