timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743252032.680330|3224334942|411567|b'\x9f\xa5\xe2\xe3\x1f+\x1ap\x14\xc4\x99=L\xd4\xd8\x0e'|b'\xd6V\xf5J\xc1\x0f\xf5\xb3>\x85\xfc\xca'|1510|42|1468|52|1382|1434|4|64|1434
1743252032.680390|3461344040|202238|"b'&\xb2QYq\x84\x18""\xc4\xa4\xcd\xd5\xe3\x0f\x94\xe6'"|b's\xcbi\x87w\xce?\xf9\xef\x83N?'|134|42|92|52|0|52|10|65|52
1743252032.684568|3224334942|411568|b'L{4f\xb8\x7fZ4\x93!U\x14\xa12\x99%'|b'\x95#y\x84^\xfa\x0b\x87\xa5\xa7\x03\xe2'|1510|42|1468|52|1382|1434|4|66|1434
1743252032.684568|3224334942|411569|"b""\x94=0\xcb\xf7\xb2%'x\x93W3%\x0f\x11\xef"""|b'\xf7\x0f\xafQ\x9f\x1a\x13\x86\xbf6R\xe1'|1030|42|988|52|902|954|4|67|954
1743252032.684684|3461344040|202239|b'\x19\xc0L\x9d\xdb\xd8_f\x17\xd6>Y\x98u=\x80'|b'\xdeA\x1e\xad\x84\x11\x0e\x1d\x14Y\x93\x1b'|134|42|92|52|0|52|10|68|52
1743252032.685843|3461344040|202240|b'\xee\\\xbe\xdc\x83_**\x1b\xe6!\x03\xa1\xe8\xb6\xf1'|b'\xdb-\xbe\\/)\x7f\xc1_\xcf\x17\x81'|134|42|92|52|0|52|10|69|52
1743252032.742081|3224334942|411570|b'1\x9f\x98:u\xc1Z\x06Q\x11V\x88m\xfc\xff\x99'|b'=\xdc\x9d\xae7{\xc4ex/x`'|134|42|92|52|0|52|10|70|52
1743252032.748529|3224334942|411571|b'm\t(\xaa\x17\xed\x84\xe9^\x1e&\x9e`:\x00R'|b'\x1b\x83P\xdb\xf6K>\x80&\xd6?\xe3'|150|42|108|52|24|76|2|71|76
1743252032.748529|3224334942|411572|b'\xba\t\xe8\x94\xfc\x90\t\xa0\x860\x1d\xf9\xb9\x7fG\xba'|b'\xbaXm\xce8\xee\x00\x0e\x92\xea\xf4\x1a'|134|42|92|52|0|52|10|72|52
1743252032.748597|3461344040|202241|b'nKo\xdb\xa0\x14q\x83r\xf5+\xc9\xf7\xa3\x8ar'|b'\x86:g\xa8t\xad\xe6\xb3\x10\\\xcbh'|118|42|76|40|0|40|6|1|60
1743252032.748660|3461344040|202242|b'\x08\xef\x86h\xf0jex}\xdb\x19\xf6auom'|b'\x9a\xc1\x10Cr\xc1\xcd\x03a\xba\xde^'|118|42|76|40|0|40|6|1|60
1743252033.032846|3461344040|202243|b'\xf2\xb7\x89\x19\xb3;!kg\x7f\x93\xaf2^9g'|b'\xae P\x05_\x84x\x03\x08\xaeV\x16'|150|42|108|28|38|66|12|75|66
1743252033.043997|3224334942|411573|b'\x16\xe1\xae\xf1Es<\x9b7\xa8\x91\xc5\x03(:B'|b'oQ\xd7\xefFpX\xb3\x8b?\x94\xa9'|198|42|156|28|88|116|10|76|116
1743252033.046303|3461344040|202244|b'\x1d\x19\x81\x8db\xf2\xc7Wb\x87\x80\x18&\x00\xfe\xea'|b'\xc7\xc9h\x884a3\xfa\xe5z \x92'|134|42|92|60|0|60|2|77|60
1743252033.159870|3461344040|202245|"b'+""\xc2\xf0\xf4-4\xe7\xf4;\xf4 \xcb\xf7\xa5n'"|b'tW\xc0h\xb0I\xf9\xdfi\xdeL\xf3'|150|42|108|28|37|65|13|78|65
1743252033.165899|3461344040|202246|b']\x86\xb5\x81`?zH\x01\xdb!\x9c\x93\xcd\x0b\xda'|"b'\x1c\xfa5\xd2\xac\xe7/>.|\\r'"|134|42|92|60|0|60|2|79|60
1743252033.170220|3224334942|411574|b'\n\x17d\x18\xd8.\xd5OX\x13\xb2\xf3S\xdc\xbd\r'|"b'}\xe0G\xd2\xe7=\x94\xbf""]\x9c\xc9'"|198|42|156|28|87|115|11|80|115
1743252033.190020|3461344040|202247|b'\xf6\xd7\x99\x9c\xd4\x90]}\x8dj1\xf6\xa9k\xf0\x80'|"b""\xa3\xbf('\xe3\xa5W\xe86K\t\x83"""|134|42|92|28|32|60|2|81|60
1743252033.190834|3461344040|202248|b'\x01\xc3\x87\xa6\x01\xd9\xf4D@\xda\xea\x06\x8e^\x8c5'|b'\xc8O#\x9d\xa8f\x87\xde9\xd3\x96\xac'|134|42|92|28|32|60|2|82|60
1743252033.201805|3224334942|411575|b'\xc6b\xef\xc3@\xb5J\x1d\xb3a\xc9\xde\x8d3S\xf7'|b'nc\xbe\x1f\xa6\x84!\xd7b\xe1\xcd$'|214|42|172|28|111|139|3|83|139
1743252033.202010|3224334942|411576|b'}\xe1_u\x96\x87\xec\xf1\xc1\xfcl\xf5!\x85LL'|"b'({\xe1""\xa5fu\xf7\xcf\xc9\xd9g'"|230|42|188|28|127|155|3|84|155
1743252033.202215|3461344040|202249|b'cR\xe8cPn\xff\xc6\x90\x0f\x1am\x93I\xd3\xdd'|b'\xb6\xe3\xa5\xb7^\x03\x1a\xe7\xca\x19\xab\xa5'|150|42|108|28|47|75|3|85|75
1743252033.208954|3461344040|202250|b'Cp\x00\x97\xc9\xf1\x05\x97n\xe7 \x98\xb8\x96<!'|b'W\x0b\x18k\x16\x14\xcaf\x03\xbf\x06\xd3'|134|42|92|60|0|60|2|86|60
1743252033.210468|3461344040|202251|b'5\x1b\xa8\xbd\x84%\xb5\x14\x07:\xca\x9e\x04F\\\x9f'|b'\x0f\x8c\x16D\xe6\x94^j7\x0f\xbd\xa3'|134|42|92|60|0|60|2|87|60
1743252033.213759|3224334942|411577|b'\x9f\x15\xa9\x14\xce\xefU\xf9U_\x80\x9dK\xfe\x04\xc2'|b'w\x0c\x01\x1d5C\x80Cf\xb3f\x08'|230|42|188|28|128|156|2|88|156
1743252033.283098|3461344040|202252|b'\\\xd9\x12\x87\\\xa8!\xbf\x11\x1b\x9b{e\xa6R\xfb'|b'-\x88v\xa3\xc0\xd8H\xd43\x83\xf5F'|134|42|92|60|0|60|2|89|60
1743252033.284065|3224334942|411578|"b""N\x84\x9f\x17VE\xd1\x97'&\xa8I\xd4\xe3A\x8e"""|b'\xa4T\xbb\xe9(\xdf]\x05\x99\xa3?\xad'|134|42|92|60|0|60|2|1|60
1743252033.284112|3461344040|202253|b'\x141\xc4\x97\xf3\xbf!\xc7^E\xe6c\x06\xbdU\xf1'|b'N\x97\xd3+@B\x93\x01\x0e\xda\x01\x97'|134|42|92|52|0|52|10|91|52
1743252033.284636|3461344040|202254|b'\x1d\x17\\ij\x85\xbd@\xdd\xd0\xd4,\xe7\xab%\xff'|b'\xe6\xf9\xb5\x14g\x8a\xac\x87{\xa515'|1510|42|1468|52|1386|1438|0|92|1438
1743252033.284687|3461344040|202255|b'#\x7f3\xff\xf1\x11\xf0\x18\xdd\xf9\xfb\xad\x16k\x8ep'|b'+\xc42\x1bz\xc3\xd3~\xabt\xe4\x93'|534|42|492|52|402|454|8|93|454
1743252033.292101|3224334942|411579|b'I\xd4\xc6\x88(`T{\xf3\xac\xf1\xfd\xea\x9d=('|b'\xffg\xd2U\x8b\x1eJ\x99\x85\xbc\x9dT'|134|42|92|60|0|60|2|1|60
1743252033.292156|3461344040|202256|"b'\xca:\xab\xec\x9d\x13|\xaf\x84\xed\x18\xcbT\xeb(\xe0'"|b'1\xae\x970\n\xb4\x8cn\xe8\x7f\x1c\x98'|134|42|92|52|0|52|10|95|52
1743252033.292586|3461344040|202257|b'8S\xf4\xc7F\xf0y\xd8{\r?\x88\x7fQ=7'|b'\xa9\x92\xa3R2z0\x1b\x89\xc0\xb2\x88'|1510|42|1468|52|1386|1438|0|96|1438
1743252033.292635|3461344040|202258|b'\xe2w=\xd7A\x10F\x19E\x91\xdd\xf4IFP\x16'|b'UWF\x9e\x14\xf1oT\xcdl\x0c\xdb'|470|42|428|52|338|390|8|97|390
